#IO COPROC
297633	62726	55745	SDRAM	hw_2k_f

#CUSTOM INSTRUCTION
149633	52726	45745	SDRAM	ci_2k_f

#corrigés
951006	152117	143773	SDRAM	2k_f
920547	113891	107808	SSRAM	2k_f
864807	56543	52084	ONCHIP	2k_f
4408206	167321	174576	SDRAM	2k_s
1780954	86035	86012	SSRAM	2k_s
1332246	71018	71008	ONCHIP	2k_s
1021266	198997	142142	SDRAM	512_f
946526	124316	102657	SSRAM	512_f
911848	73247	57028	ONCHIP	512_f
4407738	167296	174586	SDRAM	512_s
1780954	86035	86012	SSRAM	512_s
1332246	71018	71008	ONCHIP	512_s
13484546	709816	713872	SDRAM e
5308056	316000	319000	SSRAM	e
3992076	245000	248000	ONCHIP	e
